Ad status,Ad type,Final URL,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Headline,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Long headline,Description,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Description 5,Path 1,Path 2,Auto-applied ad suggestion,Image ID,Square image ID,Logo ID,Landscape logo ID,Business name,Call to action text,Video ID,Accent color,Main color,Allow flexible color,Ad format preference,Promotion text,Price prefix,Beacon URLs,Ad name,ad.display_url,Video,Call to action headline,Campaign,Ad group,Status,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conversions,Cost / conv.,Conv. rate
Enabled,Expanded text ad,https://optisigns.com,, --, --,, --,Display Apps On Any TV, --,Digital Signage With 15+ Apps., --,No Credit Card Required, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Turn Any TV Screen Into A Digital Sign and Manage Remotely From A Central Dashboard., --, --,Half the Price of Other Competitors., --, --, --, --, --, --,digitalsignage,optisigns,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,June - CTA Test,Integrations,Campaign ended,0,0, --,USD, --,0.00,0.00,0.00,0.00%
Enabled,Expanded text ad,https://optisigns.com,, --, --,, --,Digital Signage for Any Screen, --,Display Photos and Videos, --,Optisigns, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Turn Any TV Screen Into a Digital Sign and Manage Remotely From a Central Dashboard., --, --,Simple Digital Signage Solution At Half of the Price Of Competitors., --, --, --, --, --, --,digitalsignage,freetrial,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,June - Headlines Test,Static Files Management,Campaign paused,0,0, --,USD, --,0.00,0.00,0.00,0.00%
Paused,Responsive display ad,https://www.optisigns.com/?utm_source=google&utm_medium=banner&utm_campaign=display1,, --, --,, --,$10/screen/month Digital Signs, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,$10/screen/month OptiSigns Digital Signage, --,"Support Fire TV, Android, image, video, social media, playlist, schedule and more", --, --, --, --, --, --, --, --, --, --,No,575593802,575593805,575593901, --,OptiSigns, --, --, --, --,true,All formats, --, --, --, --, --, --, --,digitalsignage-display,screencloud-display,Campaign paused,0,0, --,USD, --,0.00,0.00,0.00,0.00%
Enabled,Expanded text ad,https://www.optisigns.com/app-instagram?utm_source=google&utm_medium=cpc&utm_campaign=instagram,, --, --,, --,Instagram Wall, --,Show The Story Of Your Brand‎, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Leverage your social media contents to promote your brand in store on big screen TVs., --, --,Engage your audience with beautifully visualized Instagram posts., --, --, --, --, --, --, --, --,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Keyword Campaign 1,Ad group - Product Feature - Instagram Wall,Campaign paused,0,0, --,USD, --,0.00,0.00,0.00,0.00%
Enabled,Expanded text ad,https://www.optisigns.com/?utm_source=google&utm_medium=cpc&utm_campaign=competitor_trudigital_homepage,, --, --,, --,$10/screen/month, --,OptiSigns Digital Signage, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Enjoy our full range of features at half the price of other signage software in the market, --, --,"Stream audio & video, create playlists & schedule content for just $10/screen/month.", --, --, --, --, --, --, --, --,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Competitor Landing Pages,TruDigital,Approved,85,3,3.53%,USD,2.56,7.68,0.00,0.00,0.00%
Enabled,Expanded text ad,https://www.optisigns.com/optisigns-vs-screencloud?utm_source=google&utm_medium=cpc&utm_campaign=competitor_screencloud_landingpage,, --, --,, --,$10/screen/month, --,OptiSigns Digital Signage, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Enjoy our full range of features at half the price of other signage software in the market, --, --,"Stream audio & video, create playlists & schedule content for just $10/screen/month.", --, --, --, --, --, --, --, --,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Competitor Landing Pages,Screencloud | Landing Page,Approved,"1,145",33,2.88%,USD,6.11,201.68,0.00,0.00,0.00%
Enabled,Expanded text ad,https://www.optisigns.com/?utm_source=google&utm_medium=cpc&utm_campaign=competitor_trudigital_homepage,, --, --,, --,$10/screen/month, --,OptiSigns Digital Signage, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Enjoy our full range of features at half the price of other signage software in the market, --, --,"Stream audio & video, create playlists & schedule content for just $10/screen/month.", --, --, --, --, --, --, --, --,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Competitor Landing Pages,Screenscape,Approved,173,6,3.47%,USD,2.50,14.98,0.00,0.00,0.00%
Enabled,Expanded text ad,https://www.optisigns.com/?utm_source=google&utm_medium=cpc&utm_campaign=target2,, --, --,, --,$10/month/screen, --,OptiSigns Digital Signage, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Manage your screens for $10/screen/month., --, --,"Support Fire TV, Android, image, video, social media, playlist, schedule and more", --, --, --, --, --, --, --, --,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,enplug-target,enplug target,Campaign paused,0,0, --,USD, --,0.00,0.00,0.00,0.00%
Paused,Expanded text ad,https://optisigns.com,, --, --,, --,Display Apps On Any TV, --,Digital Signage With 15+ Apps., --,Optisigns, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Turn Any TV Screen Into A Digital Sign and Manage Remotely From A Central Dashboard., --, --,Half the Price of Other Competitors., --, --, --, --, --, --,digitalsignage,optisigns,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,June - CTA Test,Integrations,Campaign ended,0,0, --,USD, --,0.00,0.00,0.00,0.00%
Enabled,Expanded text ad,https://www.optisigns.com/?utm_source=google&utm_medium=cpc&utm_campaign=target2,, --, --,, --,$10/month/screen, --,OptiSigns Digital Signage, --,Try for free, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Manage your screens for $10/screen/month., --, --,"Support Fire TV, Android, image, video, Instagram, Twitter, playlist, schedule and more", --, --, --, --, --, --, --, --,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,enplug-target,enplug target,Campaign paused,0,0, --,USD, --,0.00,0.00,0.00,0.00%
